Number,CH1,CH2,CH4
172,23.5,23.48,23.5
173,23.5,23.48,23.5
174,23.5,23.48,23.5
175,23.5,23.48,23.5
176,23.5,23.48,23.5
177,23.5,23.48,23.5
178,23.5,23.48,23.5
179,23.5,23.48,23.5
180,23.5,23.48,23.5
181,23.5,23.47,23.49
182,23.49,23.48,23.49
183,23.49,23.48,23.49
184,23.5,23.47,23.49
185,23.49,23.47,23.5
186,23.49,23.48,23.49
187,23.5,23.48,23.5
188,23.5,23.48,23.5
189,23.5,23.48,23.5
190,23.5,23.48,23.5
191,23.5,23.48,23.5
192,23.5,23.48,23.5
193,23.5,23.48,23.5
194,23.5,23.48,23.5
195,23.5,23.48,23.5
196,23.5,23.48,23.5
197,23.5,23.48,23.5
198,23.5,23.48,23.5
199,23.5,23.48,23.5
200,23.5,23.48,23.5
201,23.5,23.48,23.5
202,23.5,23.48,23.5
203,23.5,23.48,23.5
204,23.5,23.48,23.5
205,23.5,23.48,23.5
206,23.5,23.48,23.5
207,23.5,23.48,23.5
208,23.5,23.48,23.5
209,23.5,23.48,23.5
210,23.5,23.48,23.5
211,23.49,23.47,23.49
212,23.49,23.47,23.49
213,23.49,23.48,23.49
214,23.49,23.47,23.49
215,23.49,23.47,23.49
216,23.49,23.47,23.49
217,23.5,23.48,23.5
218,23.5,23.48,23.5
219,23.5,23.48,23.5
220,23.5,23.48,23.5
221,23.5,23.48,23.5
222,23.5,23.48,23.5
223,23.5,23.48,23.5
224,23.5,23.48,23.5
225,23.5,23.48,23.5
226,23.5,23.48,23.5
227,23.5,23.48,23.5
228,23.5,23.49,23.5
229,23.5,23.48,23.5
230,23.5,23.48,23.5
231,23.5,23.48,23.5
232,23.5,23.48,23.5
233,23.5,23.48,23.5
234,23.5,23.48,23.5
235,23.5,23.48,23.5
236,23.5,23.48,23.5
237,23.5,23.48,23.5
238,23.5,23.48,23.5
239,23.5,23.48,23.5
240,23.5,23.48,23.5
241,23.49,23.47,23.49
242,23.49,23.48,23.49
243,23.49,23.47,23.49
244,23.49,23.47,23.49
245,23.49,23.47,23.49
246,23.49,23.47,23.5
247,23.5,23.48,23.5
248,23.5,23.48,23.5
249,23.5,23.48,23.5
250,23.5,23.48,23.5
251,23.5,23.48,23.49
252,23.5,23.48,23.5
253,23.5,23.48,23.5
254,23.5,23.48,23.5
255,23.5,23.48,23.5
256,23.5,23.48,23.49
257,23.5,23.48,23.5
258,23.5,23.48,23.5
259,23.5,23.48,23.5
260,23.5,23.48,23.5
261,23.5,23.48,23.5
262,23.5,23.48,23.5
263,23.5,23.48,23.5
264,23.5,23.48,23.5
265,23.5,23.48,23.5
266,23.5,23.48,23.5
267,23.5,23.48,23.5
268,23.5,23.48,23.5
269,23.5,23.48,23.5
270,23.5,23.48,23.5
271,23.49,23.47,23.49
272,23.49,23.47,23.49
273,23.49,23.48,23.49
274,23.5,23.47,23.49
275,23.49,23.47,23.49
276,23.49,23.47,23.5
277,23.5,23.48,23.5
278,23.5,23.48,23.5
279,23.5,23.48,23.5
280,23.5,23.48,23.5
281,23.5,23.48,23.5
282,23.5,23.48,23.5
283,23.5,23.48,23.5
284,23.5,23.48,23.5
285,23.5,23.48,23.5
286,23.5,23.48,23.5
287,23.5,23.48,23.5
288,23.5,23.48,23.49
289,23.5,23.48,23.5
290,23.5,23.48,23.5
291,23.5,23.48,23.5
292,23.5,23.48,23.5
293,23.5,23.48,23.5
294,23.5,23.48,23.5
295,23.5,23.48,23.49
296,23.5,23.48,23.5
297,23.5,23.48,23.5
298,23.5,23.48,23.5
299,23.5,23.48,23.5
300,23.5,23.48,23.5
301,23.49,23.48,23.49
302,23.5,23.48,23.49
303,23.5,23.48,23.49
304,23.49,23.48,23.49
305,23.49,23.48,23.5
306,23.5,23.49,23.5
307,23.5,23.48,23.5
308,23.5,23.48,23.5
309,23.5,23.48,23.5
310,23.5,23.49,23.5
311,23.5,23.49,23.5
312,23.5,23.48,23.5
313,23.5,23.49,23.5
314,23.5,23.49,23.5
315,23.5,23.48,23.5
316,23.5,23.48,23.5
317,23.5,23.49,23.5
318,23.5,23.49,23.5
319,23.5,23.49,23.5
320,23.5,23.49,23.5
321,23.5,23.49,23.5
322,23.5,23.49,23.5
323,23.5,23.48,23.5
324,23.5,23.48,23.5
325,23.5,23.49,23.5
326,23.5,23.49,23.5
327,23.5,23.48,23.5
328,23.5,23.48,23.5
329,23.5,23.49,23.5
330,23.5,23.49,23.5
331,23.5,23.48,23.49
332,23.49,23.48,23.49
333,23.5,23.48,23.49
334,23.49,23.48,23.49
335,23.49,23.48,23.49
336,23.5,23.48,23.5
337,23.5,23.48,23.5
338,23.5,23.48,23.5
339,23.5,23.48,23.5
340,23.5,23.49,23.5
341,23.5,23.48,23.5
342,23.5,23.48,23.5
343,23.5,23.48,23.5
344,23.5,23.48,23.5
345,23.5,23.48,23.5
346,23.5,23.48,23.5
347,23.5,23.48,23.5
348,23.5,23.48,23.5
349,23.5,23.49,23.5
350,23.5,23.49,23.5
351,23.5,23.48,23.5
352,23.5,23.49,23.5
353,23.5,23.48,23.5
354,23.5,23.48,23.5
355,23.5,23.48,23.5
356,23.5,23.48,23.5
357,23.5,23.48,23.5
358,23.5,23.49,23.5
359,23.5,23.48,23.5
360,23.5,23.48,23.5
361,23.49,23.48,23.49
362,23.49,23.48,23.49
363,23.49,23.48,23.49
364,23.49,23.47,23.49
365,23.49,23.47,23.49
366,23.5,23.49,23.5
367,23.5,23.48,23.5
368,23.5,23.49,23.5
369,23.5,23.48,23.5
370,23.5,23.48,23.5
371,23.5,23.48,23.5
372,23.5,23.48,23.5
373,23.5,23.49,23.5
374,23.5,23.49,23.5
375,23.5,23.48,23.5
376,23.5,23.48,23.5
377,23.5,23.49,23.5
378,23.5,23.48,23.5
379,23.5,23.49,23.5
380,23.5,23.48,23.5
381,23.5,23.48,23.5
382,23.5,23.48,23.5
383,23.5,23.48,23.5
384,23.5,23.49,23.5
385,23.5,23.48,23.5
386,23.5,23.48,23.5
387,23.5,23.49,23.5
388,23.5,23.49,23.5
389,23.5,23.48,23.5
390,23.5,23.48,23.49
391,23.49,23.48,23.49
392,23.49,23.48,23.49
393,23.5,23.48,23.49
394,23.49,23.48,23.49
395,23.49,23.48,23.49
396,23.5,23.49,23.5
397,23.5,23.49,23.5
398,23.5,23.49,23.5
399,23.5,23.49,23.5
400,23.5,23.49,23.5
401,23.5,23.49,23.5
402,23.5,23.49,23.5
403,23.5,23.49,23.5
404,23.5,23.49,23.5
405,23.5,23.48,23.49
406,23.49,23.48,23.5
407,23.5,23.49,23.5
408,23.5,23.49,23.5
409,23.5,23.49,23.5
410,23.5,23.49,23.5
411,23.5,23.48,23.5
412,23.5,23.49,23.5
413,23.5,23.48,23.5
414,23.5,23.49,23.5
415,23.5,23.49,23.5
416,23.5,23.49,23.5
417,23.5,23.49,23.5
418,23.5,23.49,23.5
419,23.5,23.49,23.5
420,23.5,23.48,23.49
421,23.49,23.48,23.49
422,23.49,23.48,23.49
423,23.49,23.48,23.49
424,23.49,23.48,23.49
425,23.49,23.48,23.49
426,23.5,23.49,23.5
427,23.5,23.49,23.5
428,23.5,23.49,23.5
429,23.5,23.49,23.5
430,23.5,23.49,23.5
431,23.5,23.49,23.5
432,23.5,23.49,23.5
433,23.5,23.49,23.5
434,23.5,23.49,23.5
435,23.5,23.49,23.5
436,23.5,23.49,23.5
437,23.5,23.49,23.5
438,23.5,23.49,23.5
439,23.5,23.49,23.5
440,23.5,23.49,23.5
441,23.5,23.49,23.5
442,23.5,23.49,23.5
443,23.5,23.49,23.5
444,23.5,23.49,23.5
445,23.5,23.49,23.5
446,23.5,23.49,23.5
447,23.5,23.49,23.5
448,23.5,23.48,23.5
449,23.5,23.48,23.5
450,23.49,23.48,23.49
451,23.49,23.48,23.49
452,23.49,23.48,23.49
453,23.49,23.48,23.49
454,23.49,23.48,23.49
455,23.49,23.48,23.5
456,23.5,23.49,23.5
457,23.5,23.48,23.5
458,23.5,23.49,23.5
459,23.5,23.48,23.5
460,23.5,23.48,23.5
461,23.5,23.49,23.5
462,23.5,23.48,23.5
463,23.5,23.48,23.5
464,23.5,23.48,23.5
465,23.5,23.48,23.5
466,23.5,23.48,23.5
467,23.5,23.48,23.5
468,23.5,23.48,23.5
469,23.5,23.48,23.5
470,23.5,23.48,23.5
471,23.5,23.48,23.5
472,23.5,23.48,23.5
473,23.5,23.49,23.5
474,23.5,23.48,23.5
475,23.5,23.48,23.5
476,23.5,23.48,23.5
477,23.5,23.48,23.5
478,23.5,23.49,23.5
479,23.5,23.48,23.5
480,23.49,23.48,23.49
481,23.49,23.48,23.49
482,23.49,23.48,23.49
483,23.49,23.48,23.5
484,23.49,23.48,23.5
485,23.49,23.48,23.5
486,23.5,23.49,23.5
487,23.5,23.49,23.5
488,23.5,23.49,23.5
489,23.5,23.49,23.5
490,23.5,23.48,23.5
491,23.5,23.48,23.5
492,23.5,23.48,23.5
493,23.5,23.49,23.5
494,23.5,23.49,23.5
495,23.5,23.48,23.5
496,23.5,23.48,23.5
497,23.5,23.48,23.5
498,23.5,23.49,23.5
499,23.5,23.48,23.5
500,23.5,23.49,23.5
501,23.5,23.49,23.5
502,23.5,23.48,23.5
503,23.5,23.48,23.5
504,23.5,23.48,23.5
505,23.5,23.48,23.5
506,23.5,23.48,23.5
507,23.5,23.48,23.49
508,23.5,23.48,23.5
509,23.5,23.48,23.5
510,23.49,23.48,23.49
511,23.49,23.48,23.5
512,23.49,23.48,23.49
513,23.49,23.48,23.49
514,23.49,23.48,23.49
515,23.5,23.48,23.5
516,23.5,23.49,23.5
517,23.5,23.49,23.5
518,23.5,23.49,23.5
519,23.5,23.48,23.5
520,23.5,23.48,23.5
521,23.5,23.48,23.5
522,23.5,23.49,23.5
523,23.5,23.49,23.5
524,23.5,23.48,23.5
525,23.5,23.49,23.5
526,23.5,23.49,23.5
527,23.5,23.48,23.5
528,23.5,23.48,23.5
529,23.5,23.49,23.5
530,23.5,23.48,23.5
531,23.5,23.49,23.5
532,23.5,23.48,23.5
533,23.5,23.48,23.5
534,23.5,23.49,23.5
535,23.5,23.48,23.5
536,23.5,23.48,23.5
537,23.5,23.49,23.5
538,23.5,23.49,23.5
539,23.5,23.48,23.5
540,23.49,23.47,23.49
541,23.49,23.48,23.49
542,23.49,23.47,23.49
543,23.49,23.47,23.49
544,23.49,23.48,23.5
545,23.5,23.48,23.5
546,23.5,23.48,23.5
547,23.5,23.48,23.5
548,23.5,23.49,23.5
549,23.5,23.48,23.5
550,23.5,23.48,23.5
551,23.5,23.48,23.5
552,23.5,23.48,23.5
553,23.5,23.48,23.5
554,23.5,23.48,23.5
555,23.5,23.48,23.5
556,23.5,23.48,23.5
557,23.5,23.48,23.5
558,23.5,23.49,23.5
559,23.5,23.49,23.5
560,23.5,23.49,23.5
561,23.5,23.49,23.5
562,23.5,23.49,23.5
563,23.5,23.49,23.5
564,23.5,23.49,23.5
565,23.5,23.49,23.5
566,23.5,23.49,23.5
567,23.5,23.48,23.5
568,23.5,23.49,23.5
569,23.5,23.49,23.5
570,23.49,23.48,23.5
571,23.49,23.48,23.49
572,23.49,23.47,23.5
573,23.49,23.48,23.49
574,23.49,23.47,23.49
575,23.5,23.48,23.5
576,23.5,23.49,23.5
577,23.5,23.48,23.5
578,23.5,23.49,23.5
579,23.5,23.49,23.5
580,23.5,23.49,23.5
581,23.5,23.49,23.5
582,23.5,23.49,23.5
583,23.5,23.49,23.5
584,23.5,23.49,23.5
585,23.5,23.49,23.5
586,23.5,23.49,23.5
587,23.5,23.49,23.5
588,23.5,23.49,23.5
589,23.5,23.49,23.5
590,23.5,23.48,23.5
591,23.5,23.48,23.5
592,23.5,23.48,23.5
593,23.5,23.48,23.5
594,23.5,23.48,23.5
595,23.5,23.48,23.5
596,23.5,23.48,23.5
597,23.5,23.49,23.5
598,23.5,23.48,23.5
599,23.5,23.48,23.5
600,23.49,23.48,23.49
601,23.5,23.47,23.49
602,23.49,23.47,23.49
603,23.49,23.48,23.49
604,23.49,23.48,23.49
605,23.5,23.48,23.5
606,23.5,23.48,23.5
607,23.5,23.48,23.5
608,23.5,23.48,23.5
609,23.5,23.48,23.5
610,23.5,23.48,23.5
611,23.5,23.48,23.49
612,23.5,23.48,23.5
613,23.5,23.48,23.5
614,23.5,23.49,23.5
615,23.5,23.48,23.5
616,23.5,23.48,23.5
617,23.5,23.48,23.5
618,23.5,23.48,23.5
619,23.5,23.48,23.5
620,23.5,23.48,23.5
621,23.5,23.48,23.5
622,23.5,23.48,23.5
623,23.5,23.48,23.5
624,23.5,23.48,23.5
625,23.5,23.48,23.5
626,23.5,23.48,23.5
627,23.5,23.48,23.5
628,23.5,23.48,23.5
629,23.5,23.48,23.49
630,23.49,23.47,23.49
631,23.49,23.48,23.49
632,23.49,23.48,23.49
633,23.49,23.47,23.49
634,23.49,23.48,23.49
635,23.5,23.48,23.5
636,23.5,23.48,23.5
637,23.5,23.48,23.5
638,23.5,23.48,23.5
639,23.5,23.48,23.5
640,23.5,23.48,23.5
641,23.5,23.48,23.5
642,23.5,23.48,23.5
643,23.5,23.48,23.5
644,23.5,23.48,23.5
645,23.5,23.48,23.5
646,23.5,23.48,23.5
647,23.5,23.48,23.5
648,23.5,23.48,23.5
649,23.5,23.48,23.5
650,23.5,23.48,23.5
651,23.5,23.49,23.5
652,23.5,23.49,23.5
653,23.5,23.49,23.5
654,23.5,23.48,23.5
655,23.5,23.48,23.5
656,23.5,23.48,23.5
657,23.5,23.48,23.5
658,23.5,23.48,23.5
659,23.5,23.47,23.49
660,23.49,23.47,23.49
661,23.49,23.47,23.49
662,23.49,23.47,23.49
663,23.49,23.47,23.49
664,23.49,23.48,23.49
665,23.5,23.48,23.5
666,23.5,23.48,23.5
667,23.5,23.48,23.5
668,23.5,23.48,23.5
669,23.5,23.48,23.5
670,23.5,23.48,23.5
671,23.5,23.48,23.5
672,23.5,23.48,23.5
673,23.5,23.48,23.5
674,23.5,23.48,23.5
675,23.5,23.48,23.5
676,23.5,23.48,23.5
677,23.5,23.48,23.5
678,23.5,23.48,23.5
679,23.5,23.48,23.5
680,23.5,23.48,23.5
681,23.5,23.48,23.5
682,23.5,23.48,23.5
683,23.5,23.48,23.5
684,23.5,23.48,23.5
685,23.5,23.48,23.5
686,23.5,23.49,23.5
687,23.5,23.48,23.5
688,23.5,23.48,23.5
689,23.49,23.47,23.49
690,23.49,23.47,23.5
691,23.49,23.47,23.49
692,23.49,23.47,23.49
693,23.49,23.47,23.49
694,23.49,23.48,23.49
695,23.5,23.48,23.5
696,23.5,23.48,23.5
697,23.5,23.48,23.5
698,23.5,23.48,23.5
699,23.5,23.49,23.5
700,23.5,23.49,23.5
701,23.5,23.49,23.5
702,23.5,23.48,23.5
703,23.5,23.48,23.5
704,23.5,23.48,23.5
705,23.5,23.48,23.5
706,23.5,23.48,23.5
707,23.5,23.48,23.5
708,23.5,23.48,23.5
709,23.5,23.48,23.5
710,23.5,23.48,23.5
711,23.5,23.48,23.5
712,23.5,23.48,23.5
713,23.5,23.48,23.5
714,23.5,23.48,23.5
715,23.5,23.48,23.5
716,23.5,23.48,23.5
717,23.5,23.48,23.5
718,23.5,23.48,23.5
719,23.49,23.47,23.49
720,23.49,23.47,23.49
721,23.49,23.48,23.49
722,23.49,23.48,23.49
723,23.49,23.48,23.49
724,23.49,23.48,23.5
725,23.5,23.49,23.5
726,23.5,23.48,23.5
727,23.5,23.48,23.5
728,23.5,23.48,23.5
729,23.5,23.48,23.5
730,23.5,23.48,23.49
731,23.5,23.49,23.5
732,23.5,23.48,23.5
733,23.5,23.49,23.5
734,23.5,23.48,23.5
735,23.5,23.48,23.5
736,23.5,23.48,23.5
737,23.5,23.48,23.5
738,23.5,23.48,23.5
739,23.5,23.48,23.5
740,23.5,23.48,23.49
741,23.5,23.48,23.5
742,23.5,23.48,23.5
743,23.5,23.48,23.5
744,23.5,23.48,23.5
745,23.5,23.48,23.5
746,23.5,23.48,23.49
747,23.5,23.48,23.5
748,23.5,23.48,23.49
749,23.49,23.47,23.49
750,23.5,23.48,23.49
751,23.49,23.48,23.49
752,23.5,23.48,23.49
753,23.49,23.48,23.49
754,23.5,23.48,23.5
755,23.5,23.49,23.5
756,23.5,23.49,23.5
757,23.5,23.49,23.5
758,23.5,23.49,23.5
759,23.5,23.49,23.5
760,23.5,23.49,23.5
761,23.5,23.49,23.5
762,23.5,23.49,23.5
763,23.5,23.49,23.5
764,23.5,23.49,23.5
765,23.5,23.49,23.5
766,23.5,23.49,23.5
767,23.5,23.49,23.5
768,23.5,23.49,23.5
769,23.5,23.49,23.5
770,23.5,23.49,23.5
771,23.5,23.49,23.5
772,23.5,23.49,23.5
773,23.5,23.49,23.5
774,23.5,23.48,23.5
775,23.5,23.49,23.5
776,23.5,23.49,23.5
777,23.5,23.49,23.5
778,23.5,23.49,23.5
779,23.5,23.48,23.49
780,23.49,23.48,23.49
781,23.49,23.48,23.49
782,23.49,23.48,23.49
783,23.49,23.47,23.5
784,23.5,23.49,23.5
785,23.5,23.49,23.5
786,23.5,23.49,23.5
787,23.5,23.48,23.5
788,23.5,23.49,23.5
789,23.5,23.48,23.5
790,23.5,23.48,23.5
791,23.5,23.48,23.5
792,23.5,23.49,23.5
793,23.5,23.48,23.5
794,23.5,23.48,23.5
795,23.5,23.49,23.5
796,23.5,23.49,23.5
797,23.5,23.48,23.5
798,23.5,23.48,23.5
799,23.5,23.48,23.5
800,23.5,23.48,23.5
801,23.5,23.48,23.5
802,23.5,23.48,23.5
803,23.5,23.48,23.5
804,23.5,23.49,23.5
805,23.5,23.49,23.5
806,23.5,23.49,23.5
807,23.5,23.49,23.5
808,23.5,23.48,23.5
809,23.49,23.48,23.49
810,23.49,23.47,23.49
811,23.49,23.47,23.49
812,23.49,23.48,23.49
813,23.49,23.48,23.49
814,23.49,23.48,23.5
815,23.49,23.48,23.5
816,23.5,23.48,23.5
817,23.5,23.48,23.5
818,23.5,23.48,23.5
819,23.5,23.48,23.49
820,23.5,23.48,23.49
821,23.5,23.48,23.49
822,23.5,23.48,23.5
823,23.5,23.48,23.49
824,23.5,23.48,23.5
825,23.49,23.48,23.5
826,23.49,23.48,23.5
827,23.5,23.48,23.5
828,23.5,23.48,23.5
829,23.5,23.49,23.5
830,23.5,23.49,23.5
831,23.5,23.48,23.5
832,23.5,23.48,23.5
833,23.5,23.48,23.5
834,23.5,23.48,23.5
835,23.5,23.48,23.5
836,23.5,23.49,23.5
837,23.5,23.49,23.5
838,23.5,23.48,23.5
839,23.49,23.47,23.49
840,23.49,23.47,23.49
841,23.49,23.48,23.49
842,23.49,23.48,23.49
843,23.5,23.48,23.49
844,23.5,23.48,23.5
845,23.5,23.49,23.5
846,23.5,23.49,23.5
847,23.5,23.49,23.5
848,23.5,23.49,23.5
849,23.5,23.49,23.5
850,23.5,23.49,23.5
851,23.5,23.48,23.5
852,23.5,23.49,23.5
853,23.5,23.49,23.5
854,23.5,23.49,23.5
855,23.5,23.49,23.5
856,23.5,23.49,23.5
857,23.5,23.49,23.5
858,23.5,23.49,23.5
859,23.5,23.48,23.5
860,23.5,23.49,23.5
861,23.5,23.49,23.5
862,23.5,23.49,23.5
863,23.5,23.49,23.5
864,23.5,23.49,23.5
865,23.5,23.49,23.5
866,23.5,23.49,23.5
867,23.5,23.49,23.5
868,23.5,23.49,23.49
869,23.49,23.48,23.5
870,23.5,23.48,23.5
871,23.5,23.48,23.5
872,23.5,23.49,23.49
873,23.5,23.48,23.5
874,23.5,23.48,23.5
875,23.5,23.49,23.5
876,23.5,23.49,23.5
877,23.5,23.49,23.5
878,23.5,23.49,23.5
879,23.5,23.48,23.5
880,23.5,23.48,23.5
881,23.5,23.48,23.5
882,23.5,23.49,23.5
883,23.5,23.48,23.5
884,23.5,23.49,23.5
885,23.5,23.48,23.5
886,23.5,23.48,23.5
887,23.5,23.48,23.5
888,23.5,23.48,23.5
889,23.5,23.48,23.5
890,23.5,23.49,23.5
891,23.5,23.49,23.5
892,23.5,23.48,23.5
893,23.5,23.48,23.5
894,23.5,23.49,23.5
895,23.5,23.48,23.5
896,23.5,23.48,23.49
897,23.5,23.48,23.49
898,23.5,23.47,23.49
899,23.49,23.48,23.49
900,23.49,23.48,23.49
901,23.49,23.48,23.49
902,23.49,23.48,23.49
903,23.49,23.48,23.49
904,23.5,23.48,23.5
905,23.5,23.48,23.5
906,23.5,23.48,23.5
907,23.5,23.48,23.5
908,23.5,23.49,23.5
909,23.5,23.49,23.5
910,23.5,23.48,23.5
911,23.5,23.49,23.5
912,23.5,23.49,23.5
913,23.5,23.48,23.5
914,23.5,23.48,23.5
915,23.5,23.48,23.5
916,23.5,23.48,23.5
917,23.5,23.48,23.5
918,23.5,23.48,23.5
919,23.5,23.48,23.5
920,23.5,23.48,23.5
921,23.5,23.49,23.5
922,23.5,23.49,23.5
923,23.5,23.48,23.5
924,23.5,23.48,23.5
925,23.5,23.48,23.5
926,23.5,23.48,23.5
927,23.5,23.48,23.5
928,23.49,23.47,23.49
929,23.49,23.48,23.49
930,23.5,23.48,23.49
931,23.49,23.48,23.49
932,23.49,23.48,23.49
933,23.49,23.48,23.49
934,23.5,23.49,23.5
935,23.5,23.48,23.5
936,23.5,23.49,23.5
937,23.5,23.49,23.5
938,23.5,23.49,23.5
939,23.5,23.49,23.5
940,23.5,23.48,23.5
941,23.5,23.49,23.5
942,23.5,23.49,23.5
943,23.5,23.48,23.5
944,23.5,23.49,23.5
945,23.5,23.49,23.5
946,23.5,23.48,23.5
947,23.5,23.49,23.5
948,23.5,23.49,23.5
949,23.5,23.48,23.5
950,23.5,23.49,23.5
951,23.5,23.48,23.5
952,23.5,23.49,23.5
953,23.5,23.48,23.5
954,23.5,23.48,23.5
955,23.5,23.48,23.5
956,23.5,23.48,23.5
957,23.5,23.48,23.5
958,23.49,23.48,23.49
959,23.49,23.48,23.49
960,23.49,23.48,23.49
961,23.49,23.48,23.49
962,23.49,23.48,23.49
963,23.49,23.48,23.5
964,23.5,23.49,23.5
965,23.5,23.48,23.5
966,23.5,23.48,23.5
967,23.5,23.49,23.5
968,23.5,23.49,23.5
969,23.5,23.49,23.5
970,23.5,23.49,23.5
971,23.5,23.49,23.5
972,23.5,23.49,23.5
973,23.5,23.49,23.5
974,23.5,23.49,23.5
975,23.5,23.49,23.5
976,23.5,23.49,23.5
977,23.5,23.49,23.5
978,23.5,23.49,23.5
979,23.5,23.49,23.5
980,23.5,23.48,23.5
981,23.5,23.48,23.5
982,23.5,23.49,23.5
983,23.5,23.49,23.5
984,23.5,23.49,23.5
985,23.5,23.49,23.5
986,23.5,23.49,23.5
987,23.5,23.48,23.5
988,23.49,23.48,23.49
989,23.49,23.48,23.49
990,23.49,23.48,23.5
991,23.5,23.48,23.49
992,23.5,23.48,23.49
993,23.49,23.49,23.5
994,23.5,23.49,23.5
995,23.5,23.49,23.5
996,23.5,23.49,23.5
997,23.5,23.49,23.5
